mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
0,7,-5,0.11499999999999999,0,-12,0.15599999999999997,-5,1,-0.19499999999999995,-8,-3,-11,12,6,-2,-7,-1,9
0,7,16,-0.002999999999999947,1,8,-0.056999999999999995,-7,-13,0.19700000000000006,2,0,2,-4,3,3,-5,8,8
0,2,-6,0.04800000000000004,5,10,0.07200000000000001,-7,-10,0.04399999999999993,-8,-3,-11,-1,3,4,0,3,2
0,1,2,0.002999999999999947,-4,-3,-0.16700000000000004,6,13,-0.22499999999999998,3,-6,-3,2,5,3,-7,-4,4
0,-3,-25,0.10700000000000004,-3,-9,0.03200000000000003,14,16,-0.015000000000000013,-9,7,-2,-7,-1,2,3,-9,5
0,3,-9,0.08700000000000002,2,7,-0.030000000000000027,4,6,-0.025999999999999912,-2,6,4,1,-8,3,5,0,12
0,0,-4,0.022999999999999965,5,2,0.32100000000000006,5,11,-0.12,5,7,12,-1,-1,6,4,1,10
0,5,10,-0.0039999999999998925,-4,-7,-0.04599999999999993,5,7,0.006000000000000005,7,3,10,3,4,-3,-2,-4,11
0,7,8,0.041000000000000036,2,2,0.061,-6,-9,0.09699999999999998,7,7,14,11,-1,1,4,5,10
0,7,-6,0.10700000000000004,2,1,0.07900000000000001,-2,0,-0.18200000000000005,-3,7,4,7,3,9,3,0,14
0,5,1,0.05599999999999994,3,2,0.189,2,1,0.05899999999999994,-3,-1,-4,4,-2,1,-3,-1,15
0,7,15,0.014000000000000012,12,23,0.33299999999999996,-5,-1,-0.18799999999999994,10,-1,9,5,7,2,-7,3,21
0,1,-1,0.017000000000000015,0,8,-0.10499999999999998,4,8,-0.08599999999999997,0,-3,-3,-1,4,2,-6,-4,6
0,18,15,0.126,5,-2,0.22500000000000003,-19,-28,0.15300000000000002,0,9,9,11,4,0,0,10,22
0,7,1,0.08200000000000002,1,5,-0.03899999999999998,-6,-10,0.08300000000000007,3,9,12,7,-3,1,3,9,9
0,4,0,0.05299999999999999,-5,-9,-0.16799999999999998,-2,-3,0.016000000000000014,-7,-1,-8,6,1,-2,-5,-1,1
0,3,-11,0.09999999999999998,4,11,0.06099999999999997,1,1,0.020999999999999908,-6,7,1,7,3,5,3,5,11
0,13,7,0.131,1,7,-0.05399999999999994,3,6,-0.06599999999999995,1,2,3,9,1,2,-9,-3,30
0,14,-1,0.17600000000000005,-2,-10,0.12200000000000005,0,-1,0.030000000000000027,-3,12,9,18,4,-2,-2,0,26
0,2,10,-0.02799999999999997,-1,9,-0.239,5,7,-0.027000000000000024,6,1,7,4,5,-3,-3,-11,8
0,-3,3,-0.05299999999999999,4,11,-0.0040000000000000036,3,6,-0.06900000000000006,4,-8,-4,11,0,6,-3,-5,1
0,0,0,0.0,6,9,0.10499999999999998,9,12,0.0,0,0,0,6,3,1,-5,-8,15
0,7,11,0.028000000000000025,-1,-6,0.07,0,0,-0.0,11,2,13,-4,2,0,-3,-4,13
0,-2,-3,-0.006000000000000005,4,9,0.01200000000000001,13,13,0.247,1,3,4,-1,7,-3,-3,-8,13
0,1,0,0.012999999999999956,0,9,-0.17100000000000004,-1,-3,0.09999999999999998,-2,-5,-7,4,4,7,-4,-3,1
0,15,-6,0.2,2,-6,0.194,-7,-5,-0.09399999999999997,-4,14,10,14,-1,4,2,6,25
0,7,7,0.04899999999999999,1,7,-0.03699999999999998,-8,-12,0.06900000000000006,-3,2,-1,15,0,12,-5,5,7
0,6,7,0.041000000000000036,-2,2,-0.123,2,-2,0.18600000000000005,4,4,8,4,5,-2,-4,-2,12
0,2,5,0.0020000000000000018,4,0,0.36300000000000004,1,-1,0.08699999999999997,8,4,12,2,-3,4,2,-2,9
0,1,-12,0.08000000000000002,1,-2,0.05499999999999999,10,8,0.2290000000000001,-7,4,-3,3,5,2,0,-2,13
0,2,6,-0.009000000000000008,-2,-6,-0.013999999999999957,12,9,0.18599999999999994,6,6,12,-1,0,3,-4,2,14
0,5,-14,0.131,-1,-11,0.14899999999999997,0,-4,0.33299999999999996,-9,8,-1,6,2,1,0,7,9
0,7,2,0.07200000000000006,5,9,0.13299999999999998,-8,-9,-0.05900000000000005,-11,-2,-13,14,0,5,-9,0,11
0,4,6,0.017000000000000015,-2,3,-0.16200000000000003,-4,-6,0.039999999999999925,6,4,10,7,-3,5,2,5,2
0,2,-7,0.06799999999999995,0,-1,0.05600000000000005,7,5,0.138,1,7,8,10,-3,8,3,-3,11
0,3,5,0.006000000000000005,5,8,0.062000000000000055,3,-3,0.18499999999999994,2,1,3,6,2,-5,-1,-2,14
0,2,-14,0.11200000000000004,-9,-24,-0.007000000000000006,12,14,-0.0050000000000000044,-8,3,-5,-4,3,2,-2,-8,7
0,0,-8,0.03700000000000003,-7,-17,-0.02100000000000002,13,24,-0.19900000000000007,4,9,13,-5,-1,1,1,-8,6
0,-1,3,-0.031000000000000028,-3,-9,0.0,12,17,-0.14700000000000002,9,2,11,2,-3,-1,0,-9,7
0,-3,-7,-0.0020000000000000573,0,7,-0.09400000000000008,7,5,0.14200000000000002,-5,-1,-6,-3,1,2,1,-5,1
0,-1,-9,0.03799999999999998,9,8,0.28500000000000003,4,4,0.04599999999999993,-12,-17,-29,7,7,13,-11,-3,11
0,5,6,0.02999999999999997,4,6,0.179,-9,-8,-0.10199999999999998,-6,-8,-14,3,3,9,-5,7,5
0,-2,-17,0.056999999999999995,3,6,0.04200000000000004,6,12,-0.09700000000000009,-6,6,0,-8,0,2,2,-4,5
0,0,-10,0.04600000000000004,0,1,-0.015000000000000013,8,3,0.30299999999999994,-1,9,8,-1,-3,6,4,-3,8
0,1,-26,0.188,4,-1,0.251,6,6,0.07399999999999995,-11,11,0,7,2,5,5,2,12
0,2,-14,0.11100000000000004,5,10,0.05400000000000005,13,12,0.125,-7,9,2,8,-2,0,-1,-1,22
0,9,-6,0.14099999999999996,7,1,0.42999999999999994,-5,-7,0.0020000000000000018,-10,-1,-11,2,3,2,0,3,20
